City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,polyarnyy,69.1989,33.4478,-4.05,96,100,5.05,RU,1714866982
141,broken hill,-31.95,141.4333,13.93,76,42,7.1,AU,1714866982
142,ilulissat,69.2167,-51.1,-6.99,79,100,1.54,GL,1714866983
143,road town,18.4167,-64.6167,29.05,83,20,2.57,VG,1714866983
144,sitangkai,4.6628,119.3928,28.36,75,99,2.43,PH,1714866983
145,happy valley-goose bay,53.3168,-60.3315,5.17,70,100,2.57,CA,1714866983
146,merritt island,28.5392,-80.672,26.69,73,20,5.66,US,1714866983
147,huambo,-12.7761,15.7392,16.89,59,0,3.09,AO,1714866984
148,jinghong,21.991,100.7341,24.39,44,10,0.38,CN,1714866984
149,portland,45.5234,-122.6762,10.99,93,100,4.63,US,1714866374
150,pelabuhanratu,-6.9875,106.5514,26.0,86,75,2.2,ID,1714866984
151,lebu,-37.6167,-73.65,10.29,84,94,4.38,CL,1714866821
152,takoradi,4.8845,-1.7554,28.37,84,5,4.35,GH,1714866985
153,ingeniero jacobacci,-41.3427,-69.5448,0.53,74,22,9.97,AR,1714866985
154,chonchi,-42.6128,-73.8092,4.56,96,100,1.61,CL,1714866985
155,tutoia,-2.7619,-42.2744,25.56,91,100,3.97,BR,1714866985
156,puerto cabezas,14.0351,-83.3888,29.98,79,40,3.09,NI,1714866985
157,hoemul-li,41.4339,129.67,10.92,84,100,0.5,KP,1714866986
158,tvoroyri,61.5556,-6.8111,9.0,90,89,6.03,FO,1714866986
159,richards bay,-28.783,32.0377,20.81,75,0,6.54,ZA,1714866835
160,chiang kham,19.5233,100.3,29.82,34,69,0.87,TH,1714866986
161,monrovia,6.3005,-10.7969,27.65,89,100,3.01,LR,1714866981
162,jiangkou,25.4872,119.1986,22.0,95,96,2.1,CN,1714866987
163,vylkove,45.4021,29.586,11.41,71,0,3.84,UA,1714866987
164,lugovoye,42.9094,72.7178,15.65,61,88,3.09,KZ,1714866987
165,port saint john's,-31.6229,29.5448,21.64,87,12,6.66,ZA,1714866987
166,gonzalez,30.5816,-87.2914,27.24,74,0,4.63,US,1714866987
